,Country,Commodity,ImportsFrom,World,ReImportsFrom,ExportsTo,ImpFromExpToRatio,emissionsCommodity,tCO2_USA,tCH4_USA,tN2O_USA,ghgCategory,tCO2,tCH4,tN2O,tCO2_expto,tCH4_expto,tN2O_expto
1,South Africa,"Coal; anthracite, whether or not pulverised, but not agglomerated",354264704.0,354264704.0,0.0,36816024.0,9.622568259951157,Anthracite Coal,1016112.3038514958,107.78132047002799,15.62048122754029,Anthracite,929806.6847654401,94.588675968,14.188301395200002,96627.70475064,9.829878407999999,1.4744817612
1,Nigeria,"Coal; anthracite, whether or not pulverised, but not agglomerated",1887503.0,1887503.0,0.0,1687869.0,1.1182757666619862,Anthracite Coal,5413.79087501929,0.5742529905862123,0.08322507109945104,Anthracite,4953.9592488299995,0.5039633010000001,0.07559449515,4429.99785609,0.45066102300000005,0.06759915345
1,Egypt,"Coal; anthracite, whether or not pulverised, but not agglomerated",126962715.00674637,87665928.67735249,0.0,21228448.0,5.980781779560445,Anthracite Coal,364158.1433095461,38.62707438640843,5.598126722667888,Anthracite,333227.61143385654,33.89904490680129,5.084856736020193,55716.39690528001,5.667995616000001,0.8501993424000001
1,South Africa,"Coal; bituminous, whether or not pulverised, but not agglomerated",1273977852.0,1273977852.0,0.0,1470914561.0,0.8661127476594475,Bituminous Coal,3265061.5157962036,384.78574422716554,56.17310134703147,Bitumen,4132962.50878728,512.139096504,30.72834579024,4771852.7639225405,591.3076535220001,35.47845921132
1,Nigeria,"Coal; bituminous, whether or not pulverised, but not agglomerated",0.0,0.0,0.0,92036000.0,0.0,Bituminous Coal,0.0,0.0,0.0,Bitumen,0.0,0.0,0.0,298577.66904,36.998472,2.21990832
1,Egypt,"Coal; bituminous, whether or not pulverised, but not agglomerated",1846916362.6006718,2715053017.0232196,0.0,5545267113.0,0.3330617488688451,Bituminous Coal,4733438.284625501,557.8331569838225,81.43549736990109,Bitumen,5991655.248567343,742.4603777654702,44.5476226659282,17989622.85196782,2229.197379426,133.75184276556
1,South Africa,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",1379109592.3954287,1379109594.0,300727000.0,350190962.2745056,3.938164433022633,Sub-bituminous Coal,2547882.092699066,288.84104869500146,42.56604928136864,Sub bituminous coal,2504862.961571893,260.651712962736,39.097756944410406,636048.3428695617,66.18609186988155,9.927913780482234
1,Nigeria,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",22329103.619374283,22329107.01480306,0.0,0.0,2.2329103619374285e+27,Sub-bituminous Coal,41252.64849982506,4.676612896758211,0.6891850584696311,Sub bituminous coal,40556.12761283331,4.220200584061739,0.6330300876092609,0.0,0.0,0.0
1,Egypt,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",226021079.77172312,226021083.1671519,0.0,30851938.0,7.32599293346574,Sub-bituminous Coal,417570.19521749596,47.337909959024,6.976113046593011,Sub bituminous coal,410519.826978583,42.717984076855664,6.407697611528351,56036.06647002,5.831016281999998,0.8746524422999999
1,South Africa,"Briquettes, ovoids and similar solid fuels; manufactured from coal",44432211.0,44432211.0,0.0,57291538.99377924,0.7755457748276666,Mixed Coal (Commercial Sector),98740.42348376288,11.509920396172756,1.6652650785952072,Brown coal briquettes,89675.30985075,9.197467676999999,1.3796201515500002,115628.64857419496,11.859348571712301,1.7789022857568455
1,Nigeria,"Briquettes, ovoids and similar solid fuels; manufactured from coal",72180.0,72180.0,0.0,742.0,97.277628032345,Mixed Coal (Commercial Sector),160.40353623316213,0.018697832844639432,0.0027052183690116625,Brown coal briquettes,145.677285,0.014941259999999998,0.002241189,1.4975415,0.000153594,2.30391e-05
1,Egypt,"Briquettes, ovoids and similar solid fuels; manufactured from coal",509420.0,509420.0,0.0,35037.624511423295,14.539227676063316,Mixed Coal (Commercial Sector),1132.0694018827576,0.13196245508057938,0.019092440309530632,Brown coal briquettes,1028.136915,0.10544993999999999,0.015817491,70.71468567018007,0.007252788273864622,0.0010879182410796933
1,South Africa,"Lignite; whether or not agglomerated, excluding jet",135.0,135.0,0.0,25036000.0,5.392235181338872e-06,Lignite Coal,0.206700985471461,2.3214797504354152e-05,3.4226945038470867e-06,Lignite,0.1622565,1.6065000000000003e-05,2.40975e-06,30090.768400000004,2.979284,0.44689260000000003
1,Nigeria,"Lignite; whether or not agglomerated, excluding jet",134.37158008429964,168.3803817907745,0.0,1200.0,0.11197631673691637,Lignite Coal,0.20573880016875618,2.3106733496274988e-05,3.406761989835415e-06,Lignite,0.16150120210331975,1.599021803003166e-05,2.3985327045047487e-06,1.44228,0.0001428,2.142e-05
1,Egypt,"Lignite; whether or not agglomerated, excluding jet",64274.0,64274.0,0.0,81000.0,0.7935061728395062,Lignite Coal,98.41110474216804,0.011052651072554511,0.0016295575299279084,Lignite,77.25092060000001,0.0076486060000000005,0.0011472909000000001,97.3539,0.009639,0.00144585
1,South Africa,"Peat; (including peat litter), whether or not agglomerated",56743153.0,56743155.0,15.0,57182411.0,0.9923183022135951,Peat,55981.30683546816,16.01253022332944,2.1266641702859412,Peat,58704.19636768,5.5381317328,0.7753384425919999,59158.63512416,5.5810033136,0.781340463904
1,Nigeria,"Peat; (including peat litter), whether or not agglomerated",224355.0,224355.0,0.0,365760.0,0.613394028871391,Peat,221.3427599814811,0.06331144866509403,0.008408551775832801,Peat,232.1087088,0.021897048000000002,0.0030655867199999996,378.40066559999997,0.035698176,0.00499774464
