Country,GWP100 tCO2-equiv,tCO2,tCH4,tN2O,GWP100 tCO2-equiv other reporter
Egypt,-40256699.48588687,-40051367.63706121,-4658.856377833898,-282.5806424389532,308318.8049717024
Nigeria,93226436.02783684,92694131.39103234,12216.873704440402,717.8572569063065,285356778.1172391
South Africa,173151766.575921,172235765.41466594,20696.369579402442,1269.821935968927,127401894.87314042
