Country,ExportsFrom,World,ImportsTo,ReExportsFrom,ExpFromImpToRatio,tCO2_USA,tCH4_USA,tN2O_USA,tCO2,tCH4,tN2O,tCO2_impto,tCH4_impto,tN2O_impto,GWP100 tCO2-equiv,GWP100 tCO2-equiv other reporter
Egypt,14504027746.0,14504027747.0,16924560442.434101,0.0,inf,839332.8567031901,87.19680426596707,12.735904504067552,43316308.97080213,5787.661925663,333.68094958035,51069525.629314296,6726.135158118581,387.1974512092806,43566788.95635949,51360464.73831208
Nigeria,41917432501.22475,44150844947.48749,105786980499.74643,0.0,26895.184010336216,584.0877072934978,0.06475143882510045,0.009535039473587414,129299313.9640036,17448.274942024953,1031.9669725333554,322034782.76457214,42116.86941578425,2387.5443824745894,130061336.91010164,323846754.36956984
South Africa,87416264693.157,83892648428.55792,70595630905.20688,4982953.513103795,24.498562950321606,208330570.78595978,24494.037676163498,3575.6386533719883,279502207.7690144,34843.89602604898,2142.188815029859,171563572.74959216,19894.519189580875,1887.7999996547137,281045516.8937267,172620886.28680894
