Country,ImportsFrom,World,ReImportsFrom,ExportsTo,ImpFromExpToRatio,tCO2_USA,tCH4_USA,tN2O_USA,tCO2,tCH4,tN2O,tCO2_expto,tCH4_expto,tN2O_expto,GWP100 tCO2-equiv,GWP100 tCO2-equiv other reporter
Egypt,28091440419.66743,21847413441.098354,0.0,16449565452.30904,7.090300060000001e+29,8028782.559992587,889.1515541391707,129.91926708222903,83367676.60786334,10446.518303496898,616.2615920193032,50773601.36934343,6423.760198059661,372.37463566520694,83823488.44224636,51052145.93334038
Nigeria,11980933758.64234,9290448470.334187,0.0,12505377361.932701,2.2329103619374285e+27,48550.50220044097,5.478366968680534,0.8048414007019796,36605182.572971255,5231.4012375845505,314.10971562704896,38250034.13440244,5472.834814759822,327.1801626981677,36834900.88226479,38489976.25233073
South Africa,35858239757.93271,35858239809.0,301247673.0,14944969980.753273,1360.2384540549733,9474702.910278818,1050.1588744307983,153.4963685134946,107266442.35434848,14147.526446646534,872.3668790609323,44953534.195809856,5925.958927117023,375.58629395995746,107893750.31780572,45218991.41366852
