Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,31000,,,,31000,,6073,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,660,Anguilla,AIA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,12000,,,,12000,,2640,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,682,Saudi Arabia,SAU,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,264000,,,,264000,,94036,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,699,India,IND,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,827000,,,,827000,,279290,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,17000,,,,17000,,5576,,,0
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,710,South Africa,ZAF,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,43004000,,,,43004000,,6566469,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,710,South Africa,ZAF,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,435000,,,,435000,,267639,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,724,Spain,ESP,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,26000,,,,26000,,15745,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,764,Thailand,THA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,447000,,,,447000,,144502,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,780,Trinidad and Tobago,TTO,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,139000,,,,139000,,53668,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,51000,,,,51000,,20046,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,788,Tunisia,TUN,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,22000,,,,22000,,12960,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,59000,,,,59000,,38397,,,0
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,804,Ukraine,UKR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,24836000,,,,24836000,,3249332,,,0
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,826,United Kingdom,GBR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,521000,,,,521000,,83713,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,62000,,,,62000,,49253,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,858,Uruguay,URY,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,20000,,,,20000,,7669,,,0
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,0,World,WLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3673987000,,,,3673987000,,363545863,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,0,World,WLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1.3472E+11,,,,1.3472E+11,,11854840271,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1461698969,,,,1461698969,,139658921,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,391448,,,,391448,,33792,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,2202728899,,,,2202728899,,190151936,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1890832914,,,,1890832914,,171580009,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,70,Bosnia Herzegovina,BIH,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,116724850,,,,116724850,,10076345,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,13359464202,,,,13359464202,,1190112094,,,6
H5,2018,2018,2018,6,1,1,Import,842,USA,USA,124,Canada,CAN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,618020000,,,,618020000,,139116280,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,4753156000,,,,4753156000,,560481540,,,0
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,152,Chile,CHL,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,706645278,,,,706645278,,54496183,,,6
H5,2018,2018,2018,6,1,2,Export,842,USA,USA,156,China,CHN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3110799546,,,,3110799546,,298832776,,,6
