Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,170,Colombia,COL,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,87546000,,,,87546000,,19744888,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,170,Colombia,COL,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,328000,,,,328000,,313583,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,188,Costa Rica,CRI,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,127460000,,,,127460000,,18132258,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,191,Croatia,HRV,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,30000,,,,30000,,20572,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,191,Croatia,HRV,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,54036000,,,,54036000,,12496152,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,196,Cyprus,CYP,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,22000000,,,,22000000,,2575039,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,203,Czechia,CZE,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,521000,,,,521000,,376673,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,208,Denmark,DNK,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,201622000,,,,201622000,,15909254,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,1000,,,,1000,,4713,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,347597000,,,,347597000,,55689717,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,261653000,,,,261653000,,19710741,,,0
H5,2018,2018,2018,4,0,3,Re-Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,45000,,,,45000,,4267,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,70309000,,,,70309000,,5547875,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,246,Finland,FIN,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,8000000,,,,8000000,,5163,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,246,Finland,FIN,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,48600000,,,,48600000,,3601260,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,693559000,,,,693559000,,160390065,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,262,Djibouti,DJI,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,50000000,,,,50000000,,4050000,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,276,Germany,DEU,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,28902000,,,,28902000,,6375735,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,6255000,,,,6255000,,2766419,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,300,Greece,GRC,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,89090000,,,,89090000,,48915375,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,300,Greece,GRC,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,865592000,,,,865592000,,81274347,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,320,Guatemala,GTM,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,575191000,,,,575191000,,45285263,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,332,Haiti,HTI,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,10658000,,,,10658000,,4704443,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,506548000,,,,506548000,,47371198,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,17010000,,,,17010000,,6692736,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,45200000,,,,45200000,,3484920,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,USA,348,Hungary,HUN,,,,,,,,2713,"Petroleum coke, petroleum bitumen; other residues of petroleum oils or oils obtained from bituminous minerals",8,Weight in kilograms,245000,,,,245000,,271978,,,0
